6/19/2024 10:23:14 AM: FalloutUnderneath.Program.Main  Log message: Program starting
6/19/2024 10:23:14 AM: FalloutUnderneath.Player..ctor  Log message: Initializing player
6/19/2024 10:23:14 AM: FalloutUnderneath.Inventory.AddItemToInventory  Log message: Adding item to inventory
6/19/2024 10:23:14 AM: FalloutUnderneath.Inventory.AddItemToInventory  Log message: Added item: Pickaxe
6/19/2024 10:23:14 AM: FalloutUnderneath.GameEngine.StartGame  Log message: Starting game
6/19/2024 10:23:14 AM: FalloutUnderneath.MainMenu.ShowMainMenu  Log message: Showing main menu
6/19/2024 10:23:20 AM: FalloutUnderneath.Viewport.StartNewGame  Log message: Creating viewport...
6/19/2024 10:23:20 AM: FalloutUnderneath.GameMap.GetNewMap  Log message: Creating new map
6/19/2024 10:23:20 AM: FalloutUnderneath.GameMap.CreateNewMap  Log message: Creating new map
6/19/2024 10:23:20 AM: FalloutUnderneath.Viewport.RedrawCurrentViewport  Log message: Redrawing viewport
6/19/2024 10:23:21 AM: FalloutUnderneath.ScreenTextInterface.ClearText  Log message: Clearing text interface
6/19/2024 10:23:21 AM: FalloutUnderneath.ExitDoor.DrawOnViewport  Log message: Drawing exit door on viewport
6/19/2024 10:23:21 AM: FalloutUnderneath.Viewport.ChangeCharacterInPosition  Log message: Drawing on the viewport
6/19/2024 10:23:21 AM: FalloutUnderneath.GameEngine.StartGame  Log message: Starting main game loop
6/19/2024 10:23:21 AM: FalloutUnderneath.ScreenTextInterface.ClearText  Log message: Clearing text interface
6/19/2024 10:23:21 AM: FalloutUnderneath.Player.DrawOnViewport  Log message: Drawing player on viewport
6/19/2024 10:23:21 AM: FalloutUnderneath.Viewport.ChangeCharacterInPosition  Log message: Drawing on the viewport
6/19/2024 10:23:21 AM: FalloutUnderneath.Viewport.ChangeCharacterInPosition  Log message: Drawing on the viewport
6/19/2024 10:23:21 AM: FalloutUnderneath.Player.WriteOnTextInterface  Log message: Writing player stats to text interface
6/19/2024 10:23:21 AM: FalloutUnderneath.ScreenTextInterface.WriteTextAtLine  Log message: Writing to text interface on line: 0
6/19/2024 10:23:21 AM: FalloutUnderneath.ScreenTextInterface.WriteTextAtLine  Log message: Writing to text interface on line: 1
6/19/2024 10:23:21 AM: FalloutUnderneath.ScreenTextInterface.WriteTextAtLine  Log message: Writing to text interface on line: 2
6/19/2024 10:23:22 AM: FalloutUnderneath.GameEngine.HandleUserInput  Log message: Pressed key: S
6/19/2024 10:23:22 AM: FalloutUnderneath.Player.Move  Log message: Moving player in direction X: 0, Y: 1
6/19/2024 10:23:22 AM: FalloutUnderneath.GameEngine.UpdateObjectState  Log message: Item: ExitDoor
6/19/2024 10:23:22 AM: FalloutUnderneath.ExitDoor.InteractWithItem  Log message: Exit door interacting with player
6/19/2024 10:23:22 AM: FalloutUnderneath.ScreenTextInterface.ClearText  Log message: Clearing text interface
6/19/2024 10:23:22 AM: FalloutUnderneath.Player.DrawOnViewport  Log message: Drawing player on viewport
6/19/2024 10:23:22 AM: FalloutUnderneath.Viewport.ChangeCharacterInPosition  Log message: Drawing on the viewport
6/19/2024 10:23:22 AM: FalloutUnderneath.Viewport.ChangeCharacterInPosition  Log message: Drawing on the viewport
6/19/2024 10:23:22 AM: FalloutUnderneath.Player.WriteOnTextInterface  Log message: Writing player stats to text interface
6/19/2024 10:23:22 AM: FalloutUnderneath.ScreenTextInterface.WriteTextAtLine  Log message: Writing to text interface on line: 0
6/19/2024 10:23:22 AM: FalloutUnderneath.ScreenTextInterface.WriteTextAtLine  Log message: Writing to text interface on line: 1
6/19/2024 10:23:22 AM: FalloutUnderneath.ScreenTextInterface.WriteTextAtLine  Log message: Writing to text interface on line: 2
6/19/2024 10:23:23 AM: FalloutUnderneath.GameEngine.HandleUserInput  Log message: Pressed key: S
6/19/2024 10:23:23 AM: FalloutUnderneath.Player.Move  Log message: Moving player in direction X: 0, Y: 1
6/19/2024 10:23:23 AM: FalloutUnderneath.GameEngine.UpdateObjectState  Log message: Item: ExitDoor
6/19/2024 10:23:23 AM: FalloutUnderneath.ExitDoor.InteractWithItem  Log message: Exit door interacting with player
6/19/2024 10:23:23 AM: FalloutUnderneath.ScreenTextInterface.ClearText  Log message: Clearing text interface
6/19/2024 10:23:23 AM: FalloutUnderneath.Player.DrawOnViewport  Log message: Drawing player on viewport
6/19/2024 10:23:23 AM: FalloutUnderneath.Viewport.ChangeCharacterInPosition  Log message: Drawing on the viewport
6/19/2024 10:23:23 AM: FalloutUnderneath.Viewport.ChangeCharacterInPosition  Log message: Drawing on the viewport
6/19/2024 10:23:23 AM: FalloutUnderneath.Player.WriteOnTextInterface  Log message: Writing player stats to text interface
6/19/2024 10:23:23 AM: FalloutUnderneath.ScreenTextInterface.WriteTextAtLine  Log message: Writing to text interface on line: 0
6/19/2024 10:23:23 AM: FalloutUnderneath.ScreenTextInterface.WriteTextAtLine  Log message: Writing to text interface on line: 1
6/19/2024 10:23:23 AM: FalloutUnderneath.ScreenTextInterface.WriteTextAtLine  Log message: Writing to text interface on line: 2
6/19/2024 10:23:23 AM: FalloutUnderneath.GameEngine.HandleUserInput  Log message: Pressed key: S
6/19/2024 10:23:23 AM: FalloutUnderneath.Player.Move  Log message: Moving player in direction X: 0, Y: 1
6/19/2024 10:23:23 AM: FalloutUnderneath.GameEngine.UpdateObjectState  Log message: Item: ExitDoor
6/19/2024 10:23:23 AM: FalloutUnderneath.ExitDoor.InteractWithItem  Log message: Exit door interacting with player
6/19/2024 10:23:23 AM: FalloutUnderneath.ScreenTextInterface.ClearText  Log message: Clearing text interface
6/19/2024 10:23:23 AM: FalloutUnderneath.Player.DrawOnViewport  Log message: Drawing player on viewport
6/19/2024 10:23:23 AM: FalloutUnderneath.Viewport.ChangeCharacterInPosition  Log message: Drawing on the viewport
6/19/2024 10:23:23 AM: FalloutUnderneath.Viewport.ChangeCharacterInPosition  Log message: Drawing on the viewport
6/19/2024 10:23:23 AM: FalloutUnderneath.Player.WriteOnTextInterface  Log message: Writing player stats to text interface
6/19/2024 10:23:23 AM: FalloutUnderneath.ScreenTextInterface.WriteTextAtLine  Log message: Writing to text interface on line: 0
6/19/2024 10:23:23 AM: FalloutUnderneath.ScreenTextInterface.WriteTextAtLine  Log message: Writing to text interface on line: 1
6/19/2024 10:23:23 AM: FalloutUnderneath.ScreenTextInterface.WriteTextAtLine  Log message: Writing to text interface on line: 2
